theme_id,entity_type,entity_id,relationship_type,evidence_source,confidence,allocation_weight
picture,commit,ae13badc1a2a880e7b374fa67010992d398fa737,include,keywords: cover,0.53,0.0
picture,commit,9e1ce62bf296678be8aa16075285d1f9e0cb453c,include,explicit Theme include,1.0,0.0
picture,commit,1e4ea8e60ed212c41a1f3f43a972ccad5855a07a,include,explicit Theme include,1.0,0.0
picture,commit,68e340f508e0f0f5b0ac2fbbcae259abf6155b6e,include,explicit Theme include,1.0,0.0
picture,commit,b4593bad7a73d4737a89fa81f52b0a0c853f2bce,include,explicit Theme include,1.0,0.0
picture,commit,f36a117c021f535e956e2d1722625465cd66b2f3,include,explicit Theme include,1.0,0.0
picture,commit,2c3898c5b9fee3c3eefa3367c3219b2f4dbd2974,include,explicit Theme include,1.0,0.0
picture,commit,ce82bfb0ed6ae71f4fa52b159af692e3b74fe2c7,include,explicit Theme include,1.0,0.0
picture,commit,2aee7213d2467ac765cf2f834b3e8b0a5409064e,include,explicit Theme include,1.0,0.0
picture,commit,a0438824397c29c96ca6c63b48ef501b5d63dffe,include,explicit Theme include,1.0,0.0
picture,commit,bba775b507acd848d8bea0c67609752e0d812194,include,"keywords: cover, png",0.61,0.0
picture,commit,1276536d7ce542d757187ed8e2a7a229c6741847,include,alias: picture,0.9,0.0
picture,commit,bf6d257c8a9a96ec6846d3cac38bd49afd54f83a,include,explicit Theme include,1.0,0.0
picture,commit,575c54bdaeb6d9eda3326eedccc6e2395422094e,include,keywords: cover,0.53,0.0
picture,commit,41e60a87d8b66f2a9ba012f5c5d11b525ab7c759,include,alias: picture,0.9,0.0
picture,commit,a41be8a2ef85b234f33f4003a47fd3d0117b6e83,include,"alias: picture, pictures",0.9,0.0
picture,commit,19369540b1a2f92b3ab4fd1cedb4db7cefe41498,include,alias: picture,0.9,0.0
picture,commit,ec63010015b0d8b4b08f578fb82c8526ce872cc6,include,"alias: picture, front cover",0.9,0.0
picture,commit,126cc0a4b597443b882c65566c53e996d2cc62d2,include,alias: picture,0.9,0.0
picture,commit,27b4d85ec22c4165acb415ef3929bd10d4c35202,include,keywords: cover,0.53,0.0
picture,commit,603c07621916ecd47e1a9faee08d8c32cd6eebdf,include,keywords: cover,0.53,0.0
picture,commit,561817a4bca220d705273d6744f1e5756cec418f,include,keywords: cover,0.53,0.0
picture,commit,4e470f0885282d2dfa9bcfc38252ea229589132c,include,keywords: cover,0.53,0.0
picture,commit,29c8eed7decacebe51ab53c9150e9b5b86cd9f3b,include,keywords: cover,0.53,0.0
picture,commit,78b870c79708a25f71251242e16deec289711c28,include,"alias: picture, pictures",0.9,0.0
picture,commit,f195e03db1cd290792f99f8b880bb69995e28921,include,alias: picture,0.9,0.0
picture,commit,36c5b18642e6568ca15e897dcae9132a6907e9db,include,"alias: picture, album art, album-art",0.9,0.0
picture,commit,4a07659704ab091a117b882a027635c12af8294c,include,alias: picture,0.9,0.0
picture,commit,0539816b5ba23a6e25ff44d6be08444b0f8dd6c7,include,"alias: picture, album art, album-art",0.9,0.0
picture,commit,352ff8c562657dc7ed4c0171d4448bdda0bec559,include,alias: picture,0.9,0.0
